"Residence","07-17","18-23","24-35","36-47","48+","Total","Median number of months since previous birth","Number of births"
"Male",6.3,9.1,21.5,16.4,46.7,100,44.9,5644
"Female",5.8,9.5,20.2,17,47.5,100,45.8,5222
